Unnamed: 0,序号,零件号,零件名称,车型项目,零件重量(KG),零件尺寸L,零件尺寸W,零件尺寸H,包装等级分类,单车用量,零件质量要求,包装袋情况,干燥剂情况
,45.0,6106200-RA01,前门上铰链总成（右）,97X-LC-C项目,4.324,100.0,90.0,60.0,C,3.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,46.0,H97A5001047AB,前排右后拉手支架组件,97X-LC-C项目,0.094,102.0,90.0,40.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,47.0,Q2714216,十字槽盘头自攻螺钉-C型,97X-LC-C项目,0.01,20.0,10.0,10.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,48.0,H97C2803027AA,散热器导流框,97X-LC-C项目,0.36,600.0,200.0,800.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,49.0,H97A5525001AATE15,左遮阳板,97X-LC-C项目,0.36,387.0,23.0,132.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,50.0,H97D1303021AA,chiller2到四通水管,97X-LC-C项目,0.107,290.0,140.0,90.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,51.0,H97A6207028AA,右后门防水膜,97X-LC-C项目,0.044,405.0,250.0,10.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,52.0,H97A1104014AA,油箱隔离阀导管,97X-LC-C项目,0.046,300.0,100.0,50.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,53.0,H97Z3923006AB,充电指示标签,97X-LC-C项目,0.008,100.0,40.0,1.0,C,1.0,1. 核心防护：防磨损、防脱落、防污损；2. 内容要求：字迹清晰，信息完整准确；3. 粘贴要求：粘贴牢固，无气泡、无起翘；4. 耐久性：符合户外使用要求,,
,54.0,H97C3923004AC,胎压警示标签,97X-LC-C项目,0.0012,75.0,50.0,1.0,C,1.0,1. 核心防护：防磨损、防脱落、防污损；2. 内容要求：字迹清晰，信息完整准确；3. 粘贴要求：粘贴牢固，无气泡、无起翘；4. 耐久性：符合户外使用要求,,
,55.0,H97D9246001BA,电池包流入管总成,97X-LC-C项目,0.274,320.0,150.0,170.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,56.0,H97A5526001AAJG08,前排安全拉手,97X-LC-C项目,0.11,220.0,69.0,30.0,C,2.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,57.0,HQ146B0625X2L,六角头螺栓、弹簧垫圈和大垫圈组合件,97X-LC-C项目,0.009,30.0,20.0,20.0,C,6.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,58.0,H97D5013007AB,前围外隔音垫,97X-LC-C项目,0.35,900.0,453.0,125.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,59.0,H97A5016009AA,热熔堵盖Φ20,97X-LC-C项目,0.002,30.0,10.0,10.0,C,13.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,60.0,H97A7909007BA,低音扬声器,97X-LC-C项目,0.172,179.0,175.0,76.0,B,2.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,61.0,H97C5505019AABKAA,上面板总成,97X-LC-C项目,0.9445,553.0,275.0,200.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,62.0,H77A6105900AA,锁芯及机械钥匙合件,97X-LC-C项目,0.1,50.0,45.0,30.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,63.0,HQ32406,六角法兰面承面带齿锁紧螺母,97X-LC-C项目,0.0034,15.0,15.0,6.0,C,59.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,64.0,H97A6309002AA,车体上背门限位器,97X-LC-C项目,0.019,44.0,44.0,34.0,C,2.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,65.0,HQY32322,轮毂锁紧螺母,97X-LC-C项目,0.136,50.0,50.0,30.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,66.0,H97A3102001ABPK01,车轮装饰盖,97X-LC-C项目,0.0237(±2%),69.0,69.0,29.0,C,4.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,67.0,H97A5515015ABJK05,后背门左侧装饰板总成,97X-LC-C项目,0.259,501.0,274.0,193.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,68.0,H97A6205011AA,后门外开拉丝总成,97X-LC-C项目,0.0377,920.0,20.0,20.0,C,2.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,69.0,H97A3506004AA,制动管路4号总成,97X-LC-C项目,0.082,560.0,270.0,105.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,70.0,H97Y1302001BA,散热器支架总成,97X-LC-C项目,4.2,636.0,460.0,136.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,71.0,HQY401B14,平垫圈,97X-LC-C项目,0.02,30.0,30.0,0.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,72.0,H97C3735002AA,副仪表板组合开关,97X-LC-C项目,0.12,156.0,54.0,65.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,73.0,H97A5519003AB,前地板后地毯总成,97X-LC-C项目,5.178,1510.0,990.0,311.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,74.0,1104221-RA51,油管双管夹Ⅰ,97X-LC-C项目,0.012,43.0,39.0,14.0,C,5.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,75.0,H973602001,前碰传感器,97X-LC-C项目,0.013（±1%）,43.0,24.0,18.0,C,2.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,76.0,H97E5006901BBBG03,后导流板总成合件,97X-LC-C项目,3.689,332.0,1326.0,200.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,77.0,H97A3602812BB,蓄电池传感器,97X-LC-C项目,0.07,65.0,63.0,26.0,C,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,78.0,H97A3718013AA,左前门照地灯,97X-LC-C项目,0.068,101.0,46.0,62.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,79.0,H97A5016005AA,堵盖Φ10,97X-LC-C项目,0.0006,18.0,18.0,7.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,80.0,H97A5701010AA,顶盖后横梁焊接总成,97X-LC-C项目,3.408(±8%),980.0,260.0,85.0,A,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,防锈袋,有
,81.0,H97A5512034AAJK05,右后门框上装饰件总成,97X-LC-C项目,0.232,986.0,451.0,198.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,82.0,H97Y1303087AA,水管三管夹,97X-LC-C项目,0.068,1.0,1.0,1.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,83.0,HQ1840835T10L1S,六角法兰面螺栓,97X-LC-C项目,0.0177,125.0,33.0,33.0,C,1.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,84.0,HQY1801035T10L1,六角法兰面螺栓和带齿垫圈组合件,97X-LC-C项目,0.047,35.0,10.0,10.0,C,4.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,85.0,H97A6209001AB,后门限位器总成,97X-LC-C项目,0.194,320.0,91.0,54.0,C,2.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,86.0,8220313-RA01A,碰卡,97X-LC-C项目,0.0012,20.0,20.0,20.0,C,2.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,87.0,H97D1303043AA,三通比例阀到三通水管,97X-LC-C项目,N,520.0,340.0,280.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,88.0,H97D8107001DA,前置蒸发器流入管总成,97X-LC-C项目,0.605,1121.0,709.0,327.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,89.0,H97A5006060AB,右后门B柱装饰板总成,97X-LC-C项目,0.211,515.0,115.0,37.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,90.0,H97A2804020AA,后保险杠上安装座,97X-LC-C项目,0.466,935.0,120.0,95.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,91.0,H97A8404001AA,充电口盖盖板,97X-LC-C项目,0.135,250.0,150.0,70.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,92.0,H97Y3402001AAAE05,方向盘总成,97X-LC-C项目,1.718,361.0,382.0,141.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,93.0,H97C5505023AA,USB盖板,97X-LC-C项目,0.06,232.0,84.0,34.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,94.0,H97D3506003AA,制动管路3号总成,97X-LC-C项目,0.14,885.0,455.0,185.0,B,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,95.0,H97A6309011AA,背门左撑杆上支架总成－带球头销,97X-LC-C项目,0.12,76.0,46.0,33.0,C,1.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,96.0,HQY40212A,平垫圈,97X-LC-C项目,0.026,30.0,30.0,0.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,97.0,H97X3629005AA,后左角雷达安装支架,97X-LC-C项目,0.15,106.0,98.0,58.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,98.0,H97E6107022AA,右前门密封条总成,97X-LC-C项目,0.411,3805.0,15.0,20.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
