零件号,零件名称,包装袋情况,干燥剂情况,零件质量要求,包装等级分类,单车用量,零件分类,零件重量（KG）,零件种类,CKD包装类型,零件重量KG,零件尺寸L,零件尺寸W,零件尺寸H,CKD 包装尺寸L,CKD 包装尺寸L.1,CKD 包装尺寸L.2,CKD SNP
H97A5300010AB,前机舱右封板分总成,防锈袋,有,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,A,1.0,焊装件,,焊装件,轻钢,,,,,1480.0,1480.0,1480.0,12.0
H97A6107026AA,左前门前防水膜,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.018,总装,纸箱,0.028,213,137,23,360.0,360.0,360.0,48.0
H97A5701005AB,顶盖前横梁焊接总成,防锈袋,有,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,A,1.0,焊装件,,焊装件,轻钢,3.28,1266,200,56,1480.0,1480.0,1480.0,8.0
H97A3725001AB,12V电源插座,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,0.022,总装,纸箱,0.022,39.48,31.92,63.69,360.0,360.0,360.0,48.0
H97A5512901BCAE01,右后门内饰板合件,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,3.497,总装,天地盖纸箱,,,,,1480.0,1480.0,1480.0,8.0
H97C8405020AB,发动机装饰罩总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,,总装,天地盖纸箱,1.573,1119,108.23,500.9,1480.0,1480.0,1480.0,8.0
H97D1303057AA,四通控制阀水管2,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.268,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H97C8212011BA,后排单带扣组件,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.26,总装,纸箱,,,,,560.0,560.0,560.0,24.0
H97C1103009EA,油箱隔热板,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,,总装,纸箱,,,,,720.0,720.0,720.0,48.0
H97A3716001AD,左后组合灯固定侧,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,0.9,总装,纸箱,1.18,392.55,252.15,160.55,720.0,720.0,720.0,8.0
H97A5525007AAJG08,遮阳板挂钩盖板,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,,总装,纸箱,/,23.33,17.26,20.68,360.0,360.0,360.0,48.0
H97A3718001BA,行李箱左照明灯,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.026,总装,纸箱,0.026,202.89,22.36,19.23,360.0,360.0,360.0,48.0
H37A6305001AA,背门锁总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.552,总装,纸箱,0.552,84.15,158.77,120.74,560.0,560.0,560.0,6.0
1104234-RA51,燃油管单管夹,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.005,总装,纸箱,/,/,/,/,360.0,360.0,360.0,48.0
H97C8108001CC,压缩机排出管总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,总装,纸箱,,,,,720.0,720.0,720.0,48.0
H97E1104010AB,燃油箱安装带1,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.86,总装,纸箱,0.6,500.4,73.55,287.22,720.0,720.0,720.0,24.0
H97A5518017AB,左C柱天窗排水管,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.195,总装,纸箱,0.26,1392,857,443,360.0,360.0,360.0,24.0
H97A6204012AA,右后门玻璃升降器总成,,,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,B,1.0,采购件,1.5,总装,天地盖纸箱,1.303,630,487,100,1320.0,1320.0,1320.0,48.0
H97D9246001BA,电池包流入管总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.274,总装,纸箱,,,,,360.0,360.0,360.0,16.0
H97E5016060AA,堵盖20*28,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.005,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H97A5205016AA,后雨刮电机及支架总成,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,B,1.0,采购件,0.616,总装,纸箱,0.81,139.58,212.06,143.38,720.0,720.0,720.0,24.0
H97C2803027AA,散热器导流框,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,,总装,纸箱,,,,,1000.0,1000.0,1000.0,6.0
H97A5505022AABEGA,右前延伸板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,0.365,总装,纸箱,0.172,326,236,72,560.0,560.0,560.0,6.0
H97A5013003AA,前罩隔音垫,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.527,总装,纸箱,,,,,1380.0,1380.0,1380.0,12.0
H97D5006187AA,右前车门上装饰条,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.013,总装,纸箱,,,,,400.0,400.0,400.0,48.0
H97A3550001AB,ESC执行机构托架总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.53,总装,纸箱,,,,,720.0,720.0,720.0,16.0
H97D3724116AA,左后门饰板线束总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H97A1116001AA,油箱隔离阀总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.45,总装,纸箱,0.45,94.45,168,54.36,360.0,360.0,360.0,16.0
H97A6101041AB,左前车门防污条总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.106,总装,纸箱,0.169,2129,45,25,560.0,560.0,560.0,48.0
H97C3504005AB,制动踏板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,2,总装,纸箱,1.78,464,207,260,720.0,720.0,720.0,6.0
H97C1001006AA,发动机前悬置支架,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.45,总装,纸箱,,,,,560.0,560.0,560.0,24.0
H97X5006018XA,前端模块总成,PE袋,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,A,1.0,自制件,,总装,天地盖纸箱,,1390,515,750,1480.0,1480.0,1480.0,3.0
H97A3716012AB,右后组合灯固定侧侧板,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,,总装,纸箱,,,,,720.0,720.0,720.0,48.0
H97A8404008AB,加油口盖本体,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.357,总装,纸箱,0.38,99.04,177.06,339.83,720.0,720.0,720.0,8.0
H97A3716011AB,左后组合灯固定侧侧板,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,,总装,纸箱,,,,,720.0,720.0,720.0,48.0
H97X3629006AA,后右角雷达安装支架,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.15,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H97A5520111AC,左后侧围下部安装支架,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,0.749,总装,纸箱,0.322,388,100,100,1120.0,1120.0,1120.0,16.0
